ACCESION No.,GENUS
https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/975/GCF_014844975.1_ASM1484497v1/GCF_014844975.1_ASM1484497v1_genomic.fna.gz,Neisseria
https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/955/GCF_014844955.1_ASM1484495v1/GCF_014844955.1_ASM1484495v1_genomic.fna.gz,Neisseria
https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/935/GCF_014844935.1_ASM1484493v1/GCF_014844935.1_ASM1484493v1_genomic.fna.gz,Neisseria
https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/915/GCF_014844915.1_ASM1484491v1/GCF_014844915.1_ASM1484491v1_genomic.fna.gz,Neisseria
https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/895/GCF_014844895.1_ASM1484489v1/GCF_014844895.1_ASM1484489v1_genomic.fna.gz,Neisseria
https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/875/GCF_014844875.1_ASM1484487v1/GCF_014844875.1_ASM1484487v1_genomic.fna.gz,Neisseria
https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/835/GCF_014844835.1_ASM1484483v1/GCF_014844835.1_ASM1484483v1_genomic.fna.gz,Neisseria
https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/855/GCF_014844855.1_ASM1484485v1/GCF_014844855.1_ASM1484485v1_genomic.fna.gz,Neisseria
https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/815/GCF_014844815.1_ASM1484481v1/GCF_014844815.1_ASM1484481v1_genomic.fna.gz,Neisseria
https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/844/795/GCF_014844795.1_ASM1484479v1/GCF_014844795.1_ASM1484479v1_genomic.fna.gz,Neisseria
